File,Creation,Time,UTC,7/30/22,4:09:52,,,,,,,,
SW,Name,iID®DataCaptureSoftware,,,,,,,,,,,
SW,Version,v01.09,,,,,,,,,,,
SW,BuildDate,4/7/20,,,,,,,,,,,
SW,StartTime,7/22/22,3:48:23,,,,,,,,,,
Lib,Version,v1.6.3,,,,,,,,,,,
Company,Micro-Sensys,GmbH,,,,,,,,,,,
OS,Version,v10.0.17763.865,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Settings,,,,,,,,,,,,,
,Scan,mode,MPC,,,,,,,,,,
,DataGetDelay_Seconds,10,,,,,,,,,,,
,,,,,,,,,,,,,
Found,Hardware,,,,,,,,,,,,
,Address,ReaderID,HW-Info,FW-Info,Num-Antennas,,,,,,,,
,0x01,25SQCMICSCB030EB4,,,,,,,,,,,
,0x10,200330,D0.22,98.26.06,2,,,,,,,,
,0x13,200328,D0.22,98.26.06,2,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Timestamp,HexAddress,ReaderID,UID,Collection,DataType,FirstTimeFound,LastTimeFound,NumFound,Direction,Ant1,Ant2,,
7/30/22,8:34:55,13,200328,25SQCMICSBB7AB100B1C3,DPC,7/30/22,34:44.6,7/30/22,34:44.6,87,Arriving,x,x
7/30/22,8:35:05,13,200328,25SQCMICSBB7AB100B1C3,DPC,7/30/22,34:54.7,7/30/22,34:54.7,1,Unknown,x,
7/30/22,8:36:15,13,200328,25SQCMICSBBE316009D02,DPC,7/30/22,36:05.1,7/30/22,36:05.1,19,Departing,x,x
7/30/22,8:37:45,10,200330,25SQCMICSBBB5F100AAA0,DPC,7/30/22,37:35.3,7/30/22,37:35.3,77,Departing,x,x
7/30/22,8:40:37,10,200330,25SQCMICSBB307D00AA85,DPC,7/30/22,40:26.6,7/30/22,40:26.6,32,Departing,x,x
7/30/22,8:40:47,10,200330,25SQCMICSBB307D00AA85,DPC,7/30/22,40:36.6,7/30/22,40:36.6,4,Unknown,x,
7/30/22,8:42:38,13,200328,25SQCMICSBBB34500AA3F,DPC,7/30/22,42:27.9,7/30/22,42:27.9,48,Arriving,x,x
7/30/22,8:42:48,13,200328,25SQCMICSBBB34500AA3F,DPC,7/30/22,42:38.0,7/30/22,42:38.0,28,Unknown,x,
7/30/22,8:43:28,10,200330,25SQCMICSBB307D00AA85,DPC,7/30/22,43:17.7,7/30/22,43:17.7,9,Departing,x,x
7/30/22,8:43:38,13,200328,25SQCMICSBB7AB100B1C3,DPC,7/30/22,43:28.3,7/30/22,43:28.3,54,Departing,x,x
7/30/22,8:43:49,13,200328,25SQCMICSBB7AB100B1C3,DPC,7/30/22,43:38.4,7/30/22,43:38.4,4,Unknown,x,
7/30/22,8:45:09,13,200328,25SQCMICSBB58C600B053,DPC,7/30/22,44:59.0,7/30/22,44:59.0,31,Departing,x,x
7/30/22,8:49:51,13,200328,25SQCMICSBBBF4700B038,DPC,7/30/22,49:40.9,7/30/22,49:40.9,86,Arriving,x,x
7/30/22,8:50:31,13,200328,25SQCMICSBBE316009D02,DPC,7/30/22,50:21.2,7/30/22,50:21.2,36,Arriving,x,x
7/30/22,8:51:22,13,200328,25SQCMICSBBB34500AA3F,DPC,7/30/22,51:11.6,7/30/22,51:11.6,5,Unknown,x,
7/30/22,8:52:12,10,200330,25SQCMICSBB909700962F,DPC,7/30/22,52:01.4,7/30/22,52:01.4,18,Arriving,x,x
7/30/22,8:52:52,13,200328,25SQCMICSBBBF4700B038,DPC,7/30/22,52:42.3,7/30/22,52:42.3,28,Departing,x,x
7/30/22,8:55:24,13,200328,25SQCMICSBB50B00096DD,DPC,7/30/22,55:13.4,7/30/22,55:13.4,124,Departing,x,x
7/30/22,8:55:34,13,200328,25SQCMICSBB50B00096DD,DPC,7/30/22,55:23.5,7/30/22,55:23.5,1,Unknown,x,
7/30/22,8:56:54,13,200328,25SQCMICSBB0F9D00970B,DPC,7/30/22,56:44.0,7/30/22,56:44.0,36,Arriving,x,x
7/30/22,8:58:14,10,200330,25SQCMICSBB909700962F,DPC,7/30/22,58:04.0,7/30/22,58:04.0,1,Unknown,x,
7/30/22,8:58:15,13,200328,25SQCMICSBB04CF00B0B7,DPC,7/30/22,58:04.6,7/30/22,58:04.6,4,Unknown,x,
