File,Creation,Time,UTC,8/14/22,19:53,,,,,
SW,Name,iID®DataCaptureSoftware,,,,,,,,
SW,Version,v01,9,,,,,,,
SW,BuildDate,4/7/20,,,,,,,,
SW,StartTime,8/14/22,19:50,,,,,,,
Lib,Version,v1,6,3,,,,,,
Company,Micro-Sensys,GmbH,,,,,,,,
OS,Version,v10,0,17763,865,,,,,
,,,,,,,,,,
,,,,,,,,,,
Settings,,,,,,,,,,
,Scan,mode,DOC,,,,,,,
,FilterDuplicates,,,,,,,,,
,,Enabled,YES,,,,,,,
,,TimeToFilter_Seconds,5,,,,,,,
,,,,,,,,,,
Found,Hardware,,,,,,,,,
,Address,ReaderID,HW-Info,FW-Info,Num-Antennas,,,,,
,0x01,25SQCMICSCB030EB4,,,,,,,,
,0x10,200330,D0,22,98,26,6,2.0,,
,0x13,200328,D0,22,98,26,6,2.0,,
,,,,,,,,,,
,,,,,,,,,,
Date,Timestamp,HexAddress,ReaderID,UID,Collection,DataType,Ant,,Number,Temp(°C)
2022-08-14,19:02:17,100,10,200330,25SQCMICSBB592D00B035,,DOC,1.0,-,
2022-08-14,19:48:54,100,10,200330,25SQCMICSBB592D00B035,,DOC,1.0,-,
2022-08-14,19:48:55,100,10,200330,25SQCMICSBB592D00B035,,DOC,2.0,-,
2022-08-14,19:48:55,100,10,200330,25SQCMICSBB592D00B035,,DOC,1.0,-,
2022-08-14,19:48:55,100,10,200330,25SQCMICSBB592D00B035,,DOC,2.0,-,
2022-08-14,19:48:56,100,10,200330,25SQCMICSBB592D00B035,,DOC,1.0,-,
2022-08-14,19:48:56,100,10,200330,25SQCMICSBB592D00B035,,DOC,2.0,-,
2022-08-15,8:54:16,100,10,200330,25SQCMICSBB592D00B035,,DOC,2.0,-,
2022-08-15,8:54:18,100,10,200330,25SQCMICSBB592D00B035,,DOC,1.0,-,
2022-08-15,8:54:18,100,10,200330,25SQCMICSBB592D00B035,,DOC,2.0,-,
2022-08-15,9:15:20,100,10,200330,25SQCMICSBB592D00B035,,DOC,1.0,-,
2022-08-15,9:15:20,100,10,200330,25SQCMICSBB592D00B035,,DOC,2.0,-,
